trait_name,ontology mapable,"needed, not in ontologies",tissue,category,other_tags,nrow,description,Saatkamp_2018,TRY name,TRY number,TRY notes,TOP_trait,Top_identifier,Top_link,Top_link_date,NOTES,proposed_name_changes,workshop (or review),,
accessory_cost_fraction,,,reproductive; seed,allocation,,NA,NA,,Plant biomass and allometry: Reproductive dry mass per plant dry mass (reproductive weight fraction),1046,"similar, not identical",NA,NA,NA,Not in TOP,,accessory_cost_fraction,,biomass > allocation,
accessory_cost_mass,,,reproductive; fruit,allocation,,NA,NA,,NA,NA,NA,NA,NA,NA,Not in TOP,,accessory_cost_mass,,biomass > mass_or_size,
bark_Al_per_dry_mass,,,bark,nutrient,,NA,NA,,NA,NA,NA,bark aluminium content per bark dry mass,TOP373,https://top-thesaurus.org/annotationInfo?viz=1&&trait=Bark_aluminium_content_per_bark_dry_mass,20210518,,nutrient_bark_Al_content_per_dry_mass,,chemical >element/nutrient,
bark_ash_content_per_dry_mass,,,bark,nutrient,fire_response,NA,NA,,NA,NA,NA,NA,NA,NA,Not in TOP,,chemical_bark_ash_content_per_dry_mass,,chemical > compound,
bark_B_per_dry_mass,,,bark,nutrient,,NA,NA,,NA,NA,NA,bark boron content per bark dry mass,TOP374,https://top-thesaurus.org/annotationInfo?viz=1&&trait=Bark_boron_content_per_bark_dry_mass,20210518,,nutrient_bark_B_content_per_dry_mass,,chemical >element/nutrient,
bark_C_per_dry_mass,,,bark,nutrient,,NA,NA,,Bark carbon (C) content per bark dry mass,617,NA,bark calcium content per bark dry mass,TOP375,https://top-thesaurus.org/annotationInfo?viz=1&&trait=Bark_calcium_content_per_bark_dry_mass,20210518,,nutrient_bark_C_content_per_dry_mass,,chemical >element/nutrient,
bark_Ca_per_dry_mass,,,bark,nutrient,,NA,NA,,Bark calcium (Ca) content per bark dry mass,2957,NA,bark carbon content per bark dry mass,TOP376,https://top-thesaurus.org/annotationInfo?viz=1&&trait=Bark_carbon_content_per_bark_dry_mass,20210518,,nutrient_bark_Ca_content_per_dry_mass,,chemical >element/nutrient,
bark_cellulose_per_dry_mass,,,bark,nutrient,,NA,NA,,NA,NA,NA,bark cellulose content per bark dry mass,TOP813,https://top-thesaurus.org/annotationInfo?viz=1&&trait=Bark_cellulose_content_per_bark_dry_mass,20210518,,chemical_bark_cellulose_content_per_dry_mass,,chemical > compound,
bark_Cu_per_dry_mass,,,bark,nutrient,,NA,NA,,Bark copper (Cu) content per bark dry mass,2958,NA,bark copper content per bark dry mass,TOP379,https://top-thesaurus.org/annotationInfo?viz=1&&trait=Bark_copper_content_per_bark_dry_mass,20210518,,nutrient_bark_Cu_content_per_dry_mass,,chemical >element/nutrient,
bark_delta13C,,,bark,physiology,isotope,NA,NA,,Bark carbon (C) isotope signature (delta 13C),829,NA,NA,NA,NA,Not in TOP,,isotope_delta13C_bark,,physiology > stable_isotope_signature,
